"公司代號","公司名稱","產業別","基本每股盈餘(元)","普通股每股面額","營業收入","營業利益","營業外收入及支出","稅後淨利",
"1810","和成欣業股份有限公司","玻璃陶瓷","0.28","新台幣                 10.0000元","4120270.00","76813.00","90490.00","98665.00",
"1817","凱撒衛浴股份有限公司","玻璃陶瓷","2.48","新台幣                 10.0000元","1640574.00","238549.00","8538.00","179820.00",
"1902","台灣紙業股份有限公司","造紙工業","0.38","新台幣                 10.0000元","2222718.00","185329.00","40120.00","167270.00",
"1903","士林紙業股份有限公司","造紙工業","-0.44","新台幣                 10.0000元","150247.00","-114569.00","656.00","-115069.00",
"1904","正隆股份有限公司","造紙工業","0.91","新台幣                 10.0000元","31927106.00","1529571.00","-240015.00","1020368.00",
"1905","中華紙漿股份有限公司","造紙工業","0.43","新台幣                 10.0000元","16552402.00","524082.00","78919.00","543048.00",
"1906","寶隆國際股份有限公司","造紙工業","2.47","新台幣                 10.0000元","1203206.00","-294.00","449452.00","362993.00",
"1907","永豐餘投資控股股份有限公司","造紙工業","0.92","新台幣                 10.0000元","48806558.00","2194444.00","191021.00","1940995.00",
"1909","榮成紙業股份有限公司","造紙工業","2.71","新台幣                 10.0000元","32011962.00","3838397.00","238230.00","3034440.00",
"2002","中國鋼鐵股份有限公司","鋼鐵工業","0.69","新台幣                 10.0000元","256766764.00","16478418.00","-1632477.00","12934669.00",
"2006","東和鋼鐵企業股份有限公司","鋼鐵工業","1.17","新台幣                 10.0000元","22531841.00","1223248.00","119187.00","1162453.00",
"2007","燁興企業股份有限公司","鋼鐵工業","-0.30","新台幣                 10.0000元","6065039.00","-9970.00","-139649.00","-158434.00",
"2008","高興昌鋼鐵股份有限公司","鋼鐵工業","-0.63","新台幣                 10.0000元","921267.00","-109724.00","-31672.00","-141396.00",
"2009","第一伸銅科技股份有限公司","鋼鐵工業","0.66","新台幣                 10.0000元","2210694.00","113814.00","141788.00","235894.00",
